admin1_group,grid_count,sdg_index_2010_mean,sdg_index_2024_mean,change_rate_2010_2024_mean,change_rate_2010_2024_median,high_level_share_pct,relative_improvement_share_pct,D1_score_2010_mean,D1_score_2024_mean,D1_score_change_2010_2024_mean,D2_score_2010_mean,D2_score_2024_mean,D2_score_change_2010_2024_mean,D3_score_2010_mean,D3_score_2024_mean,D3_score_change_2010_2024_mean,D4_score_2010_mean,D4_score_2024_mean,D4_score_change_2010_2024_mean,top_dimension_2024,weak_dimension_2024
Russia - Khabarovsk,7823,0.380654470805801,0.38381057865264623,1.026478633825618,1.4314063409048414,28.454557075290808,23.09855554135242,0.002622185042889096,0.02712977856584085,0.024507593522951752,0.5464336343240325,0.5464336343240325,0.0,0.3711592686142736,0.3590646774329751,-0.01209459118129852,0.5776380913828483,0.6032232983075644,0.02558520692471611,D4,D1
China - Heilongjiang,4561,0.4757015936542834,0.49119146790602936,3.372008689306662,2.395160062908539,33.8741504056128,28.414821311115983,0.23852175109768883,0.26560113112251416,0.027079380024825322,0.9076726422227709,0.9076726422227709,0.0,0.3112122479822105,0.3495490822771017,0.03833683429489121,0.6876340044509828,0.7250649680262571,0.03743096357527431,D2,D1
China - NeiMongol,4489,0.39121230592001055,0.3977905028855818,2.122931878641432,3.40342326713721,2.561817776787703,38.09311650701716,0.0675012152939414,0.10986940374811244,0.042368188454171035,0.8311919825473337,0.8311919825473337,0.0,0.16088876432971133,0.1591104065178356,-0.0017783578118757415,0.5806619266290866,0.623825968508946,0.04316404187985945,D2,D1
Russia - Zabaykal'ye,4306,0.34613306973634905,0.3501759379449126,1.2146542821795865,0.5513847406489019,4.249883882954018,26.962378077101718,0.005501487784618627,0.030853018806416006,0.02535153102179738,0.7342906014076201,0.7342906014076201,0.0,0.18421718231946702,0.1967637371576786,0.012546554838211571,0.4898013562228147,0.5017092091260309,0.01190785290321622,D2,D1
Russia - Amur,3647,0.40053753056350877,0.3923778228143929,-1.7502796157146168,-0.494842574420539,9.26789141760351,8.088840142582946,0.009641440755622831,0.04028529522509859,0.030643854469475762,0.829965869475246,0.829965869475246,0.0,0.27668687199316994,0.23704702552366752,-0.039639846469502416,0.6003736419121787,0.604571048389384,0.004197406477205345,D2,D1
China - Jilin,1912,0.5068571276129901,0.5276978570489058,4.3929686725680535,3.054416702002498,56.27615062761506,37.44769874476987,0.2692454682093983,0.31598883670921774,0.046743368499819415,0.8857245711406517,0.8857245711406517,0.0,0.36630130431797864,0.40585001877391114,0.0395487144559325,0.7396845220090765,0.804667152860868,0.06498263085179146,D2,D1
Russia - Primor'ye,1605,0.5757548716084879,0.587119271815801,2.147341693946321,1.2687132252926194,86.79127725856698,12.087227414330219,0.02484601230132204,0.04268703782847513,0.017841025527153092,0.8584603960010649,0.8584603960010649,0.0,0.7920600599608952,0.8156193393378086,0.023559279376913378,0.7458447913192334,0.7939166713382172,0.04807188001898377,D2,D1
China - Liaoning,1448,0.4792094998861089,0.49003510906239905,2.265436928783432,1.045568115895191,33.63259668508287,23.61878453038674,0.37717030388783124,0.4236593457659673,0.04648904187813607,0.8298231190388795,0.8298231190388795,0.0,0.1892358585872273,0.23372943793473885,0.04449357934751155,0.8326322997564626,0.7961166331782074,-0.036515666578255224,D2,D3
Russia - Yevrey,360,0.4987034783250887,0.5047098957863175,1.2654102851688052,1.1869679687724024,48.333333333333336,5.277777777777778,0.0191448597592943,0.04940070019263525,0.030255840433340946,0.9245193780888953,0.9245193780888953,0.0,0.4912346502589674,0.49280074416012637,0.0015660939011589714,0.7371056184980384,0.758017029953985,0.02091141145594666,D2,D1
Unmatched,8,0.47575446804821436,0.47252417964047133,-0.6560487051304087,-0.643852811209839,37.5,0.0,0.514376286176978,0.5488577507417416,0.03448146456476364,0.7954837987986765,0.7954837987986765,0.0,0.10131568489338466,0.1267682445734322,0.025452559680047532,0.8869141621306325,0.8078155186978664,-0.07909864343276607,D4,D3
China - Hebei,1,0.40315825040201997,0.4125012773245045,2.3174589415366946,2.3174589415366946,0.0,0.0,0.19065917614263686,0.19617912841713878,0.005519952274501916,0.7425547195383506,0.7425547195383506,0.0,0.09603598534561594,0.16788479179328702,0.07184880644767108,0.7389751718511439,0.6942109738197306,-0.044764198031413294,D2,D3
