admin1_group,grid_count,中等水平_中等变化,中等水平_相对下降,中等水平_相对改善,低水平_中等变化,低水平_相对下降,低水平_相对改善,高水平_中等变化,高水平_相对下降,高水平_相对改善
Russia - Khabarovsk,7823,8.74344880480634,7.60577783459031,6.289147385913332,25.885210277387195,13.805445481273168,9.216413140738847,15.070944650389876,5.79061741020069,7.592995014700243
China - Heilongjiang,4561,41.504056128042095,8.506906380179785,15.742161806621354,0.32887524665643497,0.04385003288752467,0.0,20.039465029598773,1.1620258715194036,12.672659504494629
China - NeiMongol,4489,38.11539318333705,18.979728224548897,35.843172198707954,2.428157718868345,0.7574069948763644,1.3143239028736913,0.5346402316774337,1.0915571396747605,0.935620405435509
Russia - Zabaykal'ye,4306,12.633534602879703,4.226660473757548,17.27821644217371,19.043195541105433,35.160241523455646,7.408267533673943,1.741755689735253,0.23223409196470043,2.275894101254064
Russia - Amur,3647,26.54236358650946,34.329585961063884,6.7726898820948715,9.761447765286537,13.29860159034823,0.027419797093501508,4.469426926240746,3.509734027968193,1.2887304633945709
China - Jilin,1912,25.2092050209205,0.2615062761506276,18.253138075313807,0.0,0.0,0.0,36.663179916317986,0.41841004184100417,19.194560669456067
Russia - Primor'ye,1605,8.53582554517134,0.7476635514018692,3.925233644859813,0.0,0.0,0.0,74.76635514018692,3.8629283489096577,8.161993769470405
China - Liaoning,1448,38.812154696132595,17.817679558011047,9.737569060773481,0.0,0.0,0.0,13.950276243093922,5.801104972375691,13.88121546961326
Russia - Yevrey,360,46.94444444444444,2.5,2.2222222222222223,0.0,0.0,0.0,39.44444444444444,5.833333333333333,3.0555555555555554
Unmatched,8,25.0,37.5,0.0,0.0,0.0,0.0,25.0,12.5,0.0
China - Hebei,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
