lisa_variable,lisa_label,lisa_cluster,count,percentage,indicator,indicator_name,dimension,dimension_name,direction,unit,local_weight,weight,raw_mean,normalized_mean,shortboard_strength
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HH 高值集聚,7718,25.590185676392572,pop_density,D1.1 人口密度,D1,D1 人类活动,positive,人/km2,0.4433821447143179,0.1108455361785794,75.96739736508815,0.08353579835533455,0.4063438632791069
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HH 高值集聚,7718,25.590185676392572,nightlight,D1.2 夜间灯光强度,D1,D1 人类活动,positive,nW/cm2/sr,0.1170714006953689,0.0292678501738422,0.7155161623464837,0.22498161265134323,0.09073248817157321
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HH 高值集聚,7718,25.590185676392572,cropland_ratio,D1.3 耕地/农田比例,D1,D1 人类活动,positive,比例(0-1),0.4395464545903131,0.1098866136475782,0.1412422261688951,0.1412422261688951,0.37746393483933216
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HH 高值集聚,7718,25.590185676392572,dist_port,D2.1 距边境口岸距离,D2,D2 通达性,negative,km,0.3208624504718436,0.0802156126179609,237.453162084538,0.8498228230370409,0.048186217005278746
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HH 高值集聚,7718,25.590185676392572,dist_city,D2.2 距最近城市/城镇节点距离,D2,D2 通达性,negative,km,0.3930416506974807,0.0982604126743701,91.49847188002457,0.8658577084024633,0.052723507717838604
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HH 高值集聚,7718,25.590185676392572,dist_major_road,D2.3 距主要道路距离,D2,D2 通达性,negative,km,0.2860958988306757,0.0715239747076689,63.790182618117036,0.8854287410960177,0.032778367296296886
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HH 高值集聚,7718,25.590185676392572,ndvi,D3.1 NDVI,D3,D3 生态状态,positive,无量纲,0.0637545677133387,0.0159386419283346,0.7822797132738516,0.8494851557612706,0.009596008828880702
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HH 高值集聚,7718,25.590185676392572,forest_ratio,D3.2 林地覆盖率,D3,D3 生态状态,positive,比例(0-1),0.8359196240251567,0.2089799060062891,0.6919736336220667,0.6919736336220667,0.2574852843724772
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HH 高值集聚,7718,25.590185676392572,npp,D3.3 净初级生产力,D3,D3 生态状态,positive,kgC/m2,0.1003258082615044,0.0250814520653761,0.5781085624109281,0.7260722671922335,0.02748202119918059
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HH 高值集聚,7718,25.590185676392572,slope,D4.1 地形坡度,D4,D4 环境约束,negative,度,0.2482879503227113,0.0620719875806778,3.652330892387151,0.6793011136808963,0.07962566915494647
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HH 高值集聚,7718,25.590185676392572,climate_water_stress,D4.2 气候水分亏缺,D4,D4 环境约束,negative,mm,0.2904988745765502,0.0726247186441375,66.4016490827178,0.9004845398116194,0.028909129187692065
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HH 高值集聚,7718,25.590185676392572,cold_stress,D4.3 低温冷胁迫,D4,D4 环境约束,negative,℃·月,0.4612131751007384,0.1153032937751846,87.23845468700534,0.7025584758565141,0.13718394975702006
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LL 低值集聚,7511,24.903846153846153,pop_density,D1.1 人口密度,D1,D1 人类活动,positive,人/km2,0.4433821447143179,0.1108455361785794,0.6592287958838418,0.0011628128929915475,0.4428665742399219
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LL 低值集聚,7511,24.903846153846153,nightlight,D1.2 夜间灯光强度,D1,D1 人类活动,positive,nW/cm2/sr,0.1170714006953689,0.0292678501738422,0.5686376874614469,0.22860772007376814,0.09030797469655805
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LL 低值集聚,7511,24.903846153846153,cropland_ratio,D1.3 耕地/农田比例,D1,D1 人类活动,positive,比例(0-1),0.4395464545903131,0.1098866136475782,0.0020303554786933378,0.0020303554786933378,0.4386540190380954
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LL 低值集聚,7511,24.903846153846153,dist_port,D2.1 距边境口岸距离,D2,D2 通达性,negative,km,0.3208624504718436,0.0802156126179609,679.9847458194025,0.5456061035072742,0.14579793910810523
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LL 低值集聚,7511,24.903846153846153,dist_city,D2.2 距最近城市/城镇节点距离,D2,D2 通达性,negative,km,0.3930416506974807,0.0982604126743701,362.5416118616166,0.42604160119214535,0.22558955649912216
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LL 低值集聚,7511,24.903846153846153,dist_major_road,D2.3 距主要道路距离,D2,D2 通达性,negative,km,0.2860958988306757,0.0715239747076689,246.718461924746,0.5549789689603248,0.1273186918738499
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LL 低值集聚,7511,24.903846153846153,ndvi,D3.1 NDVI,D3,D3 生态状态,positive,无量纲,0.0637545677133387,0.0159386419283346,0.6315386688043855,0.5937305742021973,0.025901531616885246
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LL 低值集聚,7511,24.903846153846153,forest_ratio,D3.2 林地覆盖率,D3,D3 生态状态,positive,比例(0-1),0.8359196240251567,0.2089799060062891,0.055773532128234556,0.055773532128234556,0.7892974340179679
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LL 低值集聚,7511,24.903846153846153,npp,D3.3 净初级生产力,D3,D3 生态状态,positive,kgC/m2,0.1003258082615044,0.0250814520653761,0.32052321699731257,0.3028818833486102,0.0699389385067884
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LL 低值集聚,7511,24.903846153846153,slope,D4.1 地形坡度,D4,D4 环境约束,negative,度,0.2482879503227113,0.0620719875806778,5.217589336160456,0.542396808141873,0.11361735856758477
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LL 低值集聚,7511,24.903846153846153,climate_water_stress,D4.2 气候水分亏缺,D4,D4 环境约束,negative,mm,0.2904988745765502,0.0726247186441375,124.26900162465175,0.8137593410003654,0.05410270183978891
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LL 低值集聚,7511,24.903846153846153,cold_stress,D4.3 低温冷胁迫,D4,D4 环境约束,negative,℃·月,0.4612131751007384,0.1153032937751846,160.08532119200433,0.28298977996359287,0.3306945601626704
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HL 高值-低邻,36,0.11936339522546419,pop_density,D1.1 人口密度,D1,D1 人类活动,positive,人/km2,0.4433821447143179,0.1108455361785794,40.898924340002445,0.05006180700543861,0.42118563335597226
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HL 高值-低邻,36,0.11936339522546419,nightlight,D1.2 夜间灯光强度,D1,D1 人类活动,positive,nW/cm2/sr,0.1170714006953689,0.0292678501738422,0.5847220478786362,0.2364674783489838,0.08938782178615155
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HL 高值-低邻,36,0.11936339522546419,cropland_ratio,D1.3 耕地/农田比例,D1,D1 人类活动,positive,比例(0-1),0.4395464545903131,0.1098866136475782,6.944444289224016e-05,6.944444289224016e-05,0.43951593053164884
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HL 高值-低邻,36,0.11936339522546419,dist_port,D2.1 距边境口岸距离,D2,D2 通达性,negative,km,0.3208624504718436,0.0802156126179609,435.3139804854552,0.713194531693538,0.09202510536953608
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HL 高值-低邻,36,0.11936339522546419,dist_city,D2.2 距最近城市/城镇节点距离,D2,D2 通达性,negative,km,0.3930416506974807,0.0982604126743701,278.0527001639859,0.561938411302068,0.17217644992899606
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HL 高值-低邻,36,0.11936339522546419,dist_major_road,D2.3 距主要道路距离,D2,D2 通达性,negative,km,0.2860958988306757,0.0715239747076689,196.26283009456358,0.6441272623867241,0.10181373073680337
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HL 高值-低邻,36,0.11936339522546419,ndvi,D3.1 NDVI,D3,D3 生态状态,positive,无量纲,0.0637545677133387,0.0159386419283346,0.7494384315278795,0.7936935805487205,0.013152976588603055
